X,Y,label,Var4
-4.616623,0.4256542,reprogrammed_prog,reprogrammed_prog
-4.4793725,1.0582771,reprogrammed_prog,reprogrammed_prog
-4.299181,0.6169642,reprogrammed_prog,reprogrammed_prog
-3.8813884,-0.30781022,reprogrammed_prog,reprogrammed_prog
-4.62567,0.19949298,failed_prog,reprogrammed_prog
-4.466521,0.46397695,failed_prog,reprogrammed_prog
-4.036513,-1.2474035,reprogrammed_prog,reprogrammed_prog
-5.0251656,1.1656357,failed_prog,reprogrammed_prog
-3.900938,0.043506682,reprogrammed_prog,reprogrammed_prog
-4.402393,-0.48016235,reprogrammed_prog,reprogrammed_prog
-4.92009,1.2510543,reprogrammed_prog,reprogrammed_prog
-4.3976235,0.970036,reprogrammed_prog,reprogrammed_prog
-4.6093383,1.3903227,reprogrammed_prog,reprogrammed_prog
-4.7028637,1.4732352,reprogrammed_prog,reprogrammed_prog
-4.876572,1.517741,reprogrammed_prog,reprogrammed_prog
-5.215359,1.2438465,reprogrammed_prog,reprogrammed_prog
-5.0451207,1.3019058,reprogrammed_prog,reprogrammed_prog
-5.227947,1.2590603,reprogrammed_prog,reprogrammed_prog
-4.222722,0.8737102,reprogrammed_prog,reprogrammed_prog
-3.6372883,1.1532289,reprogrammed_prog,reprogrammed_prog
-5.033211,1.4027996,reprogrammed_prog,reprogrammed_prog
-4.5237937,0.81928307,reprogrammed_prog,reprogrammed_prog
-4.5314384,1.0391285,reprogrammed_prog,reprogrammed_prog
-4.2787986,-0.62101907,reprogrammed_prog,reprogrammed_prog
-5.036951,0.7776236,reprogrammed_prog,reprogrammed_prog
-4.720732,1.5220455,reprogrammed_prog,reprogrammed_prog
-5.132203,0.99174345,reprogrammed_prog,reprogrammed_prog
-4.6426287,0.9795051,failed_prog,reprogrammed_prog
-4.557988,1.0745631,failed_prog,reprogrammed_prog
-3.9448376,0.8783799,failed_prog,reprogrammed_prog
-4.687467,0.5545885,reprogrammed_prog,reprogrammed_prog
-4.4473033,0.8556933,reprogrammed_prog,reprogrammed_prog
-4.460621,0.9552953,reprogrammed_prog,reprogrammed_prog
-4.5728307,0.18017636,reprogrammed_prog,reprogrammed_prog
-4.769556,0.668943,failed_prog,reprogrammed_prog
-4.973123,1.2425272,failed_prog,reprogrammed_prog
-4.65901,0.74502385,failed_prog,reprogrammed_prog
-4.96024,1.0341368,reprogrammed_prog,reprogrammed_prog
-5.2936797,1.6360888,reprogrammed_prog,reprogrammed_prog
-4.802582,1.1785705,reprogrammed_prog,reprogrammed_prog
-4.789267,1.5653249,failed_prog,reprogrammed_prog
-4.502341,1.0423304,reprogrammed_prog,reprogrammed_prog
-4.465606,1.1306837,reprogrammed_prog,reprogrammed_prog
-4.758066,1.4922942,reprogrammed_prog,reprogrammed_prog
-4.1094494,0.60999006,reprogrammed_prog,reprogrammed_prog
-4.519846,1.2168899,reprogrammed_prog,reprogrammed_prog
-3.6995332,-1.7269742,reprogrammed_prog,reprogrammed_prog
-4.322899,1.3410434,reprogrammed_prog,reprogrammed_prog
-4.275201,0.77141184,reprogrammed_prog,reprogrammed_prog
-4.721455,1.0156854,reprogrammed_prog,reprogrammed_prog
-4.602263,1.3711166,reprogrammed_prog,reprogrammed_prog
-5.2783737,1.4735214,reprogrammed_prog,reprogrammed_prog
-4.6220946,1.3487027,reprogrammed_prog,reprogrammed_prog
-4.6973443,1.7047596,reprogrammed_prog,reprogrammed_prog
-4.629803,1.599141,reprogrammed_prog,reprogrammed_prog
-4.7121835,2.180449,reprogrammed_prog,reprogrammed_prog
-4.332764,1.492149,reprogrammed_prog,reprogrammed_prog
-5.7395344,2.3728757,reprogrammed_prog,reprogrammed_prog
-4.13016,0.9981073,reprogrammed_prog,reprogrammed_prog
-4.854866,1.580179,reprogrammed_prog,reprogrammed_prog
-4.3303695,1.0348221,reprogrammed_prog,reprogrammed_prog
-4.6680136,0.70919764,reprogrammed_prog,reprogrammed_prog
-4.5607696,1.6229619,reprogrammed_prog,reprogrammed_prog
-4.874122,1.734351,reprogrammed_prog,reprogrammed_prog
-4.548521,1.2940942,reprogrammed_prog,reprogrammed_prog
-5.1278276,1.6447047,reprogrammed_prog,reprogrammed_prog
-4.5582247,1.0464355,reprogrammed_prog,reprogrammed_prog
-4.8027096,1.0231259,reprogrammed_prog,reprogrammed_prog
-4.657066,1.4597198,reprogrammed_prog,reprogrammed_prog
-5.6714473,1.5999964,failed_prog,reprogrammed_prog
-4.5102425,1.346471,reprogrammed_prog,reprogrammed_prog
-5.0414643,-0.023692323,reprogrammed_prog,reprogrammed_prog
-4.5290537,0.9174459,reprogrammed_prog,reprogrammed_prog
-4.869723,1.31403,reprogrammed_prog,reprogrammed_prog
-4.6057806,1.484234,reprogrammed_prog,reprogrammed_prog
-4.5861483,0.6590511,failed_prog,reprogrammed_prog
-4.9380817,1.2224147,reprogrammed_prog,reprogrammed_prog
-2.249844,-1.4072229,failed_prog,reprogrammed_prog
-4.321059,1.4182016,reprogrammed_prog,reprogrammed_prog
-4.44574,1.0243821,reprogrammed_prog,reprogrammed_prog
-3.324503,0.4830816,reprogrammed_prog,reprogrammed_prog
-4.3403487,0.7615061,reprogrammed_prog,reprogrammed_prog
-4.3430095,0.70158094,reprogrammed_prog,reprogrammed_prog
-3.051244,-0.9600893,reprogrammed_prog,reprogrammed_prog
-3.7980661,0.3265696,reprogrammed_prog,reprogrammed_prog
-4.420179,0.0997174,reprogrammed_prog,reprogrammed_prog
-3.9683325,0.048513442,reprogrammed_prog,reprogrammed_prog
-3.6707072,0.24083993,reprogrammed_prog,reprogrammed_prog
-3.8578296,0.06417941,reprogrammed_prog,reprogrammed_prog
-3.822636,0.26030526,reprogrammed_prog,reprogrammed_prog
-4.279522,0.04181508,reprogrammed_prog,reprogrammed_prog
-3.2450948,-0.7177013,reprogrammed_prog,reprogrammed_prog
-4.5849752,0.9278318,reprogrammed_prog,reprogrammed_prog
-4.316725,0.70183307,reprogrammed_prog,reprogrammed_prog
-4.0608892,0.7306449,reprogrammed_prog,reprogrammed_prog
-4.2845273,0.6082622,reprogrammed_prog,reprogrammed_prog
-2.9639854,-1.077534,reprogrammed_prog,reprogrammed_prog
-4.341921,1.0125265,reprogrammed_prog,reprogrammed_prog
-4.2834396,0.83145094,reprogrammed_prog,reprogrammed_prog
